id,Question,Response
0,there .,where ?
1,you have my word . as a gentleman,you re sweet .
2,hi .,looks like things worked out tonight huh ?
3,you know chastity ?,i believe we share an art instructor
4,have fun tonight ?,tons
5,well no . . .,then that s all you had to say .
6,then that s all you had to say .,but
7,but,you always been this selfish ?
8,do you listen to this crap ?,what crap ?
9,what good stuff ?,the real you .
10,the real you .,like my fear of wearing pastels ?
11,wow,let s go .
12,she okay ?,i hope so .
13,they do to !,they do not !
14,did you change your hair ?,no .
15,no .,you might wanna think about it
16,who ?,joey .
17,great,would you mind getting me a drink cameron ?
18,it s more,expensive ?
19,hey sweet cheeks .,hi joey .
20,where ve you been ?,nowhere . . . hi daddy .
21,you are so completely unbalanced .,can we go now ?
22,what ?,in th . for a month
23,in th . for a month,why ?
24,why ?,he was like a total babe
25,he was like a total babe,but you hate joey
26,you looked beautiful last night you know .,so did you
27,let go !,you set me up .
28,you set me up .,i just wanted
29,patrick is that a .,perm ?
30,but she doesn t want to date .,exactly my point
31,daddy i,and where re you going ?
32,oh god . it s starting .,it s just a party . daddy .
33,wear the belly before you go .,daddy no !
34,daddy no !,just for a minute
35,why ?,because she ll scare them away .
36,the prom ? kat has a date ?,no but
37,you the new guy ?,so they tell me . . .
38,so which dakota you from ?,north actually . how d you ?
39,north actually . how d you ?,i was kidding . people actually live there ?
40,how many people were in your old school ?,thirty two .
41,thirty two .,get out !
42,get out !,how many people go here ?
43,how many people go here ?,couple thousand . most of them evil
44,that girl i,you burn you pine you perish ?
45,you burn you pine you perish ?,who is she ?
46,yeah just a minor encounter with the shrew .,that s her ? bianca s sister ?
47,that s her ? bianca s sister ?,the mewling rampalian wretch herself .
48,what about him ?,you wanna go out with him ?
49,what makes you think he ll do it ?,he seems like he thrives on danger
50,number one . she hates smokers,it s a lung cancer issue
51,it s a lung cancer issue,her favorite uncle
52,her favorite uncle,dead at forty one .
53,he s pretty !,okay ! i wasn t sure
54,assail your ears for one night .,it s her favorite band .
55,gigglepuss is playing there tomorrow night .,don t make me do it man
56,cameron i m a little busy,it s off . the whole thing .
57,what re you talking about ?,she s partial to joey not me
58,cameron do you like the girl ?,sure
59,sure,then go get her
60,you makin any headway ?,she kissed me .
61,she kissed me .,where ?
62,what s the worst ?,you get the girl .
63,hey do you mind ?,not at all
64,where ya goin ?,away .
65,away .,your sister here ?
66,leave my sister alone .,and why would i do that ?
67,yeah,what do you think ?
68,you just said,you need money to take a girl out
69,when i shell out fifty i expect results .,i m on it
70,i just upped my price,what ?
71,what ?,a hundred bucks a date .
72,a hundred bucks a date .,forget it .
73,forget it .,forget her sister then .
74,it s about time .,a deal s a deal .
75,how d you do it ?,do what ?
76,do what ?,get her to act like a human
77,hey .,are you lost ?
